date,crime_type,crime_count
2024-09-01T00:00:00Z,DECEPTIVE PRACTICE,1157
2024-09-01T00:00:00Z,NARCOTICS,429
2024-08-01T00:00:00Z,BATTERY,3831
2024-08-01T00:00:00Z,ASSAULT,2011
2024-08-01T00:00:00Z,THEFT,5544
2024-08-01T00:00:00Z,CRIMINAL DAMAGE,2509
2024-08-01T00:00:00Z,ROBBERY,754
2024-08-01T00:00:00Z,MOTOR VEHICLE THEFT,1941
2024-08-01T00:00:00Z,BURGLARY,739
2024-08-01T00:00:00Z,OTHER OFFENSE,1273
2024-08-01T00:00:00Z,NARCOTICS,443
2024-08-01T00:00:00Z,DECEPTIVE PRACTICE,1199
2024-07-01T00:00:00Z,MOTOR VEHICLE THEFT,1892
2024-07-01T00:00:00Z,THEFT,5884
2024-07-01T00:00:00Z,OTHER OFFENSE,1394
2024-07-01T00:00:00Z,CRIMINAL DAMAGE,2499
2024-07-01T00:00:00Z,ASSAULT,2088
2024-07-01T00:00:00Z,BATTERY,4087
2024-07-01T00:00:00Z,BURGLARY,736
2024-07-01T00:00:00Z,ROBBERY,875
2024-07-01T00:00:00Z,NARCOTICS,537
2024-07-01T00:00:00Z,DECEPTIVE PRACTICE,1213
2024-06-01T00:00:00Z,CRIMINAL DAMAGE,2490
2024-06-01T00:00:00Z,ASSAULT,2041
2024-06-01T00:00:00Z,DECEPTIVE PRACTICE,1252
2024-06-01T00:00:00Z,THEFT,5318
2024-06-01T00:00:00Z,MOTOR VEHICLE THEFT,1965
2024-06-01T00:00:00Z,ROBBERY,807
2024-06-01T00:00:00Z,NARCOTICS,441
2024-06-01T00:00:00Z,BATTERY,4220
2024-06-01T00:00:00Z,BURGLARY,602
2024-06-01T00:00:00Z,OTHER OFFENSE,1354
2024-05-01T00:00:00Z,BATTERY,4372
2024-05-01T00:00:00Z,CRIMINAL DAMAGE,2311
2024-05-01T00:00:00Z,MOTOR VEHICLE THEFT,1752
2024-05-01T00:00:00Z,OTHER OFFENSE,1437
2024-05-01T00:00:00Z,ROBBERY,759
2024-05-01T00:00:00Z,THEFT,5046
2024-05-01T00:00:00Z,NARCOTICS,425
2024-05-01T00:00:00Z,ASSAULT,2262
2024-05-01T00:00:00Z,DECEPTIVE PRACTICE,1288
2024-05-01T00:00:00Z,BURGLARY,730
2024-04-01T00:00:00Z,ASSAULT,1937
2024-04-01T00:00:00Z,MOTOR VEHICLE THEFT,1596
2024-04-01T00:00:00Z,BATTERY,3727
2024-04-01T00:00:00Z,CRIMINAL DAMAGE,2167
2024-04-01T00:00:00Z,THEFT,4400
2024-04-01T00:00:00Z,ROBBERY,710
2024-04-01T00:00:00Z,OTHER OFFENSE,1320
2024-04-01T00:00:00Z,BURGLARY,573
2024-04-01T00:00:00Z,DECEPTIVE PRACTICE,1198
2024-04-01T00:00:00Z,NARCOTICS,435
2024-03-01T00:00:00Z,CRIMINAL DAMAGE,2380
2024-03-01T00:00:00Z,ASSAULT,1862
2024-03-01T00:00:00Z,BURGLARY,568
2024-03-01T00:00:00Z,NARCOTICS,546
2024-03-01T00:00:00Z,BATTERY,3635
2024-03-01T00:00:00Z,THEFT,4367
2024-03-01T00:00:00Z,MOTOR VEHICLE THEFT,1807
2024-03-01T00:00:00Z,OTHER OFFENSE,1379
2024-03-01T00:00:00Z,ROBBERY,744
2024-03-01T00:00:00Z,DECEPTIVE PRACTICE,1215
2024-02-01T00:00:00Z,BATTERY,3409
2024-02-01T00:00:00Z,ASSAULT,1706
2024-02-01T00:00:00Z,MOTOR VEHICLE THEFT,1813
2024-02-01T00:00:00Z,CRIMINAL DAMAGE,2110
2024-02-01T00:00:00Z,THEFT,4214
2024-02-01T00:00:00Z,OTHER OFFENSE,1435
2024-02-01T00:00:00Z,NARCOTICS,554
2024-02-01T00:00:00Z,DECEPTIVE PRACTICE,1183
2024-02-01T00:00:00Z,ROBBERY,667
2024-02-01T00:00:00Z,BURGLARY,519
2024-01-01T00:00:00Z,BATTERY,3228
2024-01-01T00:00:00Z,ASSAULT,1702
2024-01-01T00:00:00Z,CRIMINAL DAMAGE,2020
2024-01-01T00:00:00Z,THEFT,4224
2024-01-01T00:00:00Z,OTHER OFFENSE,1427
2024-01-01T00:00:00Z,MOTOR VEHICLE THEFT,1704
2024-01-01T00:00:00Z,DECEPTIVE PRACTICE,1214
2024-01-01T00:00:00Z,BURGLARY,525
2024-01-01T00:00:00Z,ROBBERY,727
2024-01-01T00:00:00Z,NARCOTICS,538
2023-12-01T00:00:00Z,CRIMINAL DAMAGE,2364
2023-12-01T00:00:00Z,ASSAULT,1763
2023-12-01T00:00:00Z,BATTERY,3480
2023-12-01T00:00:00Z,THEFT,4901
2023-12-01T00:00:00Z,MOTOR VEHICLE THEFT,2116
2023-12-01T00:00:00Z,ROBBERY,981
2023-12-01T00:00:00Z,OTHER OFFENSE,1238
2023-12-01T00:00:00Z,NARCOTICS,442
2023-12-01T00:00:00Z,DECEPTIVE PRACTICE,1179
2023-12-01T00:00:00Z,BURGLARY,592
2023-11-01T00:00:00Z,OTHER OFFENSE,1281
2023-11-01T00:00:00Z,CRIMINAL DAMAGE,2356
2023-11-01T00:00:00Z,BURGLARY,650
2023-11-01T00:00:00Z,THEFT,4647
2023-11-01T00:00:00Z,BATTERY,3429
2023-11-01T00:00:00Z,DECEPTIVE PRACTICE,1167
2023-11-01T00:00:00Z,ROBBERY,1005
2023-11-01T00:00:00Z,MOTOR VEHICLE THEFT,2181
2023-11-01T00:00:00Z,ASSAULT,1770
2023-11-01T00:00:00Z,NARCOTICS,487
2023-10-01T00:00:00Z,BATTERY,3785
2023-10-01T00:00:00Z,ASSAULT,1953
2023-10-01T00:00:00Z,THEFT,5019
2023-10-01T00:00:00Z,OTHER OFFENSE,1266
2023-10-01T00:00:00Z,ROBBERY,1189
2023-10-01T00:00:00Z,NARCOTICS,448
2023-10-01T00:00:00Z,MOTOR VEHICLE THEFT,2472
2023-10-01T00:00:00Z,BURGLARY,625
2023-10-01T00:00:00Z,CRIMINAL DAMAGE,2542
2023-10-01T00:00:00Z,DECEPTIVE PRACTICE,1216
2023-09-01T00:00:00Z,THEFT,4785
2023-09-01T00:00:00Z,CRIMINAL DAMAGE,2433
2023-09-01T00:00:00Z,BATTERY,3924
2023-09-01T00:00:00Z,OTHER OFFENSE,1224
2023-09-01T00:00:00Z,ROBBERY,1128
2023-09-01T00:00:00Z,ASSAULT,2016
2023-09-01T00:00:00Z,MOTOR VEHICLE THEFT,2251
2023-09-01T00:00:00Z,DECEPTIVE PRACTICE,1230
2023-09-01T00:00:00Z,BURGLARY,624
2023-09-01T00:00:00Z,NARCOTICS,404
2023-08-01T00:00:00Z,ROBBERY,1202
2023-08-01T00:00:00Z,BATTERY,3979
2023-08-01T00:00:00Z,NARCOTICS,468
2023-08-01T00:00:00Z,THEFT,5250
2023-08-01T00:00:00Z,CRIMINAL DAMAGE,2654
2023-08-01T00:00:00Z,MOTOR VEHICLE THEFT,2515
2023-08-01T00:00:00Z,ASSAULT,2088
2023-08-01T00:00:00Z,OTHER OFFENSE,1240
2023-08-01T00:00:00Z,BURGLARY,625
2023-08-01T00:00:00Z,DECEPTIVE PRACTICE,1376
2023-07-01T00:00:00Z,CRIMINAL DAMAGE,2874
2023-07-01T00:00:00Z,MOTOR VEHICLE THEFT,2502
2023-07-01T00:00:00Z,ROBBERY,990
2023-07-01T00:00:00Z,BATTERY,4145
2023-07-01T00:00:00Z,THEFT,5010
2023-07-01T00:00:00Z,BURGLARY,609
2023-07-01T00:00:00Z,OTHER OFFENSE,1316
2023-07-01T00:00:00Z,ASSAULT,2018
2023-07-01T00:00:00Z,DECEPTIVE PRACTICE,1279
2023-07-01T00:00:00Z,NARCOTICS,422
2023-06-01T00:00:00Z,CRIMINAL DAMAGE,2543
2023-06-01T00:00:00Z,OTHER OFFENSE,1301
2023-06-01T00:00:00Z,BATTERY,3829
2023-06-01T00:00:00Z,THEFT,4891
2023-06-01T00:00:00Z,ASSAULT,2002
2023-06-01T00:00:00Z,ROBBERY,773
2023-06-01T00:00:00Z,MOTOR VEHICLE THEFT,2461
2023-06-01T00:00:00Z,DECEPTIVE PRACTICE,1271
2023-06-01T00:00:00Z,NARCOTICS,416
2023-06-01T00:00:00Z,BURGLARY,584
2023-05-01T00:00:00Z,MOTOR VEHICLE THEFT,2339
2023-05-01T00:00:00Z,CRIMINAL DAMAGE,2508
2023-05-01T00:00:00Z,THEFT,4567
2023-05-01T00:00:00Z,BATTERY,3905
2023-05-01T00:00:00Z,ASSAULT,1994
2023-05-01T00:00:00Z,ROBBERY,765
2023-05-01T00:00:00Z,BURGLARY,587
2023-05-01T00:00:00Z,NARCOTICS,383
2023-05-01T00:00:00Z,OTHER OFFENSE,1200
2023-05-01T00:00:00Z,DECEPTIVE PRACTICE,1285
2023-04-01T00:00:00Z,BATTERY,3566
2023-04-01T00:00:00Z,CRIMINAL DAMAGE,2357
2023-04-01T00:00:00Z,ASSAULT,1778
2023-04-01T00:00:00Z,OTHER OFFENSE,1179
2023-04-01T00:00:00Z,MOTOR VEHICLE THEFT,2215
2023-04-01T00:00:00Z,THEFT,4239
2023-04-01T00:00:00Z,ROBBERY,743
2023-04-01T00:00:00Z,NARCOTICS,372
2023-04-01T00:00:00Z,DECEPTIVE PRACTICE,1355
2023-04-01T00:00:00Z,BURGLARY,570
2023-03-01T00:00:00Z,DECEPTIVE PRACTICE,1412
2023-03-01T00:00:00Z,THEFT,4297
2023-03-01T00:00:00Z,BURGLARY,539
2023-03-01T00:00:00Z,MOTOR VEHICLE THEFT,2260
2023-03-01T00:00:00Z,CRIMINAL DAMAGE,2260
2023-03-01T00:00:00Z,BATTERY,3359
2023-03-01T00:00:00Z,OTHER OFFENSE,1347
2023-03-01T00:00:00Z,ASSAULT,1745
2023-03-01T00:00:00Z,ROBBERY,681
2023-03-01T00:00:00Z,NARCOTICS,473
2023-02-01T00:00:00Z,ASSAULT,1468
2023-02-01T00:00:00Z,BATTERY,3012
2023-02-01T00:00:00Z,MOTOR VEHICLE THEFT,2115
2023-02-01T00:00:00Z,NARCOTICS,543
2023-02-01T00:00:00Z,BURGLARY,520
2023-02-01T00:00:00Z,THEFT,3694
2023-02-01T00:00:00Z,ROBBERY,574
2023-02-01T00:00:00Z,CRIMINAL DAMAGE,1874
2023-02-01T00:00:00Z,OTHER OFFENSE,1147
2023-02-01T00:00:00Z,DECEPTIVE PRACTICE,1283
2023-01-01T00:00:00Z,MOTOR VEHICLE THEFT,2740
2023-01-01T00:00:00Z,CRIMINAL DAMAGE,2286
2023-01-01T00:00:00Z,THEFT,4145
2023-01-01T00:00:00Z,BURGLARY,641
2023-01-01T00:00:00Z,BATTERY,3109
2023-01-01T00:00:00Z,ASSAULT,1674
2023-01-01T00:00:00Z,DECEPTIVE PRACTICE,1359
2023-01-01T00:00:00Z,OTHER OFFENSE,1219
2023-01-01T00:00:00Z,ROBBERY,884
2023-01-01T00:00:00Z,NARCOTICS,553
2022-12-01T00:00:00Z,BATTERY,2969
2022-12-01T00:00:00Z,MOTOR VEHICLE THEFT,2631
2022-12-01T00:00:00Z,ASSAULT,1546
2022-12-01T00:00:00Z,OTHER OFFENSE,1037
2022-12-01T00:00:00Z,CRIMINAL DAMAGE,2164
2022-12-01T00:00:00Z,THEFT,4285
2022-12-01T00:00:00Z,BURGLARY,676
2022-12-01T00:00:00Z,ROBBERY,887
2022-12-01T00:00:00Z,NARCOTICS,344
2022-12-01T00:00:00Z,DECEPTIVE PRACTICE,1322
